record_no,record_no,symbol,exchange,date,period,strike,out-of-the-money %,Call/Put,IV,delta
322,323,SPY,NYSEArca,2025-04-09,1080,679.2125,25,C,0.168155,0.346684
323,324,SPY,NYSEArca,2025-04-09,1080,407.5275,25,P,0.238568,-0.144716
324,325,SPY,NYSEArca,2025-04-09,1080,706.381,30,C,0.160702,0.286343
325,326,SPY,NYSEArca,2025-04-09,1080,380.35898,30,P,0.249323,-0.11548
326,327,SPY,NYSEArca,2025-04-09,1080,733.5495,35,C,0.153348,0.228418
327,328,SPY,NYSEArca,2025-04-09,1080,353.1905,35,P,0.261037,-0.09122
328,329,SPY,NYSEArca,2025-04-09,1080,760.71796,40,C,0.14879,0.180186
329,330,SPY,NYSEArca,2025-04-09,1080,326.022,40,P,0.272595,-0.070667
330,331,SPY,NYSEArca,2025-04-09,1080,787.88654,45,C,0.143994,0.137169
331,332,SPY,NYSEArca,2025-04-09,1080,298.85352,45,P,0.287091,-0.054732
332,333,SPY,NYSEArca,2025-04-09,1080,815.055,50,C,0.141547,0.104906
333,334,SPY,NYSEArca,2025-04-09,1080,271.685,50,P,0.304217,-0.042369
334,335,SPY,NYSEArca,2025-04-09,1080,842.22345,55,C,0.139856,0.079667
335,336,SPY,NYSEArca,2025-04-09,1080,244.5165,55,P,0.320687,-0.031757
336,337,SPY,NYSEArca,2025-04-09,1080,869.392,60,C,0.139655,0.061649
337,338,SPY,NYSEArca,2025-04-09,1080,217.34799,60,P,0.340743,-0.023659
